Шифра,Артикал,Продажна Цена,Единична Цена,Опис,Достапност,Редовна Цена,ДДВ,Последно ажурирање
623,УРДА ЗДРАВЈЕ ВАКУМ,228,кгр.           ,,Има,228,5,
624,СОЛ ЕРДА,17,бр.            ,,Има,17,5,
625,ЕВРИ ДЕЈ 18 НОКНИ,164,бр.            ,,Има,164,5,
626,БОНУКС 2КГ,160,бр.            ,,Има,160,18,
627,КРЕМ БАНАНКА ,6,бр.            ,,Има,6,5,
628,КОЛГЕЈТ 125МЛ ТРИПЛ АКТИОН,61,бр.            ,,Има,61,18,
629,БОЈА ЗА ЈАЈЦА КАПСУЛИ,30,бр.            ,,Има,30,18,
630,БИБЕР МЕЛЕН КИБЕЛА,5,бр.            ,,Има,5,5,
631,БИТОЛСКО МЛЕКО 10 ВИТАМИНИ,55,бр.            ,,Има,55,5,
632,КАРНЕКС 75ГР 3+1,88,бр.            ,,Има,88,5,
633,ГРАВ 300ГР СЛАНИНА И РЕБРО ТАКОВО,110,бр.            ,,Има,110,5,
634,ЗДЕНКА МАЗУРСКИ,57,бр.            ,,Има,57,5,
635,ФИНИШ 50 БР,522,бр.            ,,Има,522,18,
636,ПИЛ БАТАК 10КГ,1210,бр.            ,,Има,1210,5,
637,БИБЕР ВО ЗРНО,6,бр.            ,,Има,6,10,
638,ГАЗОЗА 1/4,165,бр.            ,,Има,165,18,
639,"СЕВЕН УП 1,75",50,бр.            ,,Има,50,18,
640,СОЛЕНКИ СО КИКИРИТКИ,26,бр.            ,,Има,26,5,
641,МЕЛЕНО ЈУНЕШКО СТОЧАР 500ГР,140,бр.            ,,Има,140,5,
642,СОДА БИКАРБОНА ВИТАМИНКА 50ГР,9,бр.            ,,Има,9,18,
643,ФРАНЦУСКО БЕЛО 200ГР,44,бр.            ,,Има,44,5,
644,ФРАНЦУСКО БЕЛО 500 ГР,123,бр.            ,,Има,123,5,
645,ТОАЛЕТ БОРА ДЕЛУКС 8+2,110,бр.            ,,Има,110,18,
646,ГУЛАШ 300 ГР СВИНСКИ СЛ,112,бр.            ,,Има,112,5,
647,КИСЕЛО МЛЕКО ЈОКА,25,бр.            ,,Има,25,5,
648,ЈУФКИ ОХРИДСКИ,96,бр.            ,,Има,96,5,
649,БОНИ И ПЕРФЕКС 4/3 ДЕЛУКС,46,бр.            ,,Има,46,18,
650,ПЕРФЕКС 8+2 БЕЛ,100,бр.            ,,Има,100,18,
651,ТЕСТЕНИНИ ИНДОМИ,95,бр.            ,,Има,95,10,
652,КОЛГЕЈТ 50 МЛ,37,бр.            ,,Има,37,18,
653,БРАШНО ЖИТО ЛУКС 2КГ,84,бр.            ,,Има,84,5,
654,БРАШНО ЖИТО ЛУКС 1КГ,47,бр.            ,,Има,47,5,
655,ПАВЛАКА СО ПИПЕРКА 400 ГР,125,бр.            ,,Има,125,5,
656,САВЕКС 6КГ,690,бр.            ,,Има,690,18,
657,САВЕКС 3 КГ,326,бр.            ,,Има,326,18,
658,ЖЕЛАТИН,14,бр.            ,,Има,14,18,
659,ЛОКУМ 1 КГ,135,кгр.           ,,Има,135,10,
660,ОБЛАНДИ,49,бр.            ,,Има,49,5,
661,ЕНТОКС СПРЕЈ,75,бр.            ,,Има,75,5,
662,КИМ МАКС,10,бр.            ,,Има,10,5,
663,ДОМИНО ПАСТА,99,бр.            ,,Има,99,18,
664,МЕЛЕНО МЕШАНО РИМЕС 450ГР,112,бр.            ,,Има,112,5,
665,НАРЕЗАК АГРИ ПИЛ И СВИ 300 ГР,70,бр.            ,,Има,70,5,
666,КЕБАП РИМЕС 500ГР,106,бр.            ,,Има,106,5,
667,НИВЕА ШЕИВ,270,бр.            ,,Има,270,18,
668,КРПИ МИКРОФИБЕР 3/1,90,бр.            ,,Има,90,18,
669,СУНГЕР МАСТЕР 1/1,10,бр.            ,,Има,10,18,
670,ЦИФ,99,бр.            ,,Има,99,18,
671,ДЕЛИРИУМ,10,бр.            ,,Има,10,5,
672,КИБРИТ,25,бр.            ,,Има,25,18,
673,СЕНФ 50ГР ,15,бр.            ,,Има,15,10,
674,ЛЕБЛЕБИЈА МИКС 300 ГР,74,бр.            ,,Има,74,10,
675,СЕКУНДАРЕН ЛЕПАК,12,бр.            ,,Има,12,18,
676,МАРАМИЦИ БОНИ 24/1,20,бр.            ,,Има,20,18,
677,ФИДЕ ДИВЕЛА,43,бр.            ,,Има,43,5,
678,СОЛ ЕДРА 10 КГ,138,бр.            ,,Има,138,5,
679,ТЕО ШАМПОН,71,бр.            ,,Има,71,18,
680,ПЛЕСКАВИЦА РИМЕС 400ГР,92,бр.            ,,Има,92,5,
681,ФАНТ ПАПРИКАШ,60,бр.            ,,Има,60,5,
682,КРЕМ БАНАНКА 630гр,237,бр.            ,,Има,237,10,
683,КАКАО ВИТАМИНКА,50,бр.            ,,Има,50,5,
684,ВЕЦЕ СТИК НИМЕС,23,бр.            ,,Има,23,18,
685,МЕЛЕНО МЕСО МАРФИЛ 450 ГР,175,бр.            ,,Има,175,5,
686,ЈОГУРТ ШТИПСКИ,69,бр.            ,,Има,69,5,
687,ЧАЧКАЛИЦИ,10,бр.            ,,Има,10,18,
688,НИВЕА КРЕМА 75 МЛ,125,бр.            ,,Има,125,18,
689,"КНАЗ МИЛОШ 1,75",35,бр.            ,,Има,35,18,
690,БОРДС ЕВЕ 250 ГР,80,бр.            ,,Има,80,5,
691,ПЕРСИЛ 10 КГ,850,бр.            ,,Има,850,18,
692,ЕМОУШН,105,бр.            ,,Има,105,18,
693,СВЕКИ БЕЛИ,13,бр.            ,,Има,13,18,
694,ЧЕПКАЛКИ 200/1,43,бр.            ,,Има,43,18,
695,НАРЕЗАК ВЕРБЛИНСКИ 300ГР,44,бр.            ,,Има,44,5,
696,ПЧЕНКАРНО БРАШНО ЧЕЗА 500,24,бр.            ,,Има,24,5,
697,ЧОКОБИСКВИТ КУТИЈА,150,бр.            ,,Има,150,5,
698,МАСЛИНКА 181-200,185,кгр.           ,,Има,185,5,
699,ДОВЕ ДЕЗОДОРАНС,150,бр.            ,,Има,150,18,
700,УРДА 700 ЗДРАВЈЕ,156,бр.            ,,Има,156,5,
701,НАРЕЗАК АГРИКО 130 ГР,35,бр.            ,,Има,35,5,
702,"МЛЕКО ПЛАНИНСКО 2,8",63,бр.            ,,Има,63,5,
703,ЧАЈ НАНЕ АЛКАЛОИД,65,бр.            ,,Има,65,18,
704,ТУТКУ 36ГР,13,бр.            ,,Има,13,5,
705,МАСЛИНКА 250ГР БЛОНД,65,бр.            ,,Има,65,5,
706,НОБЛИЦЕ 300гр,110,бр.            ,,Има,110,10,
707,КОЛБАС ЈУНЕШКИ МЕИН,110,бр.            ,,Има,110,5,
708,МАКАРОНИ И ШПАГЕТИ БАРИЛА,95,бр.            ,,Има,95,5,
709,РИБА ОСЛИЧ ПАКУВАНА,178,кгр.           ,,Има,178,5,
710,БРУСНИЦА 100 ГР НУТИНИ,58,бр.            ,,Има,58,10,
711,РУБЕЛ 8КГ,430,бр.            ,,Има,430,18,
712,АЛУМИНИУМСКА ФОЛ 100М,340,бр.            ,,Има,340,18,
713,МАСЛИНКА 500ГР КАЛАМАТА ОЛИВЕЛО,185,бр.            ,,Има,185,5,
714,СОДА БИКАРБОНА 120 ГР ВИТАМИНКА,65,бр.            ,,Има,65,18,
715,МАСЛИНКА 500ГР КАФЕНА ОЛИВЕЛО,160,бр.            ,,Има,160,5,
716,МАРАМИЦИ БЕКУТАН 72 БР,83,бр.            ,,Има,83,18,
717,СЕНФ ГОРЧИЦА 95 ГР,28,бр.            ,,Има,28,5,
718,УЛКЕР БЕБЕ,38,бр.            ,,Има,38,5,
719,НУТЕЛА 400 ГР,170,бр.            ,,Има,170,5,
720,КИСЕЛО МЛЕКО ШТИПСКО,29,бр.            ,,Има,29,5,
721,СУЏУК МЕИН,260,кгр.           ,,Има,260,5,
722,КАШКАВАЛ КРАВЈИ ШИПКА,510,кгр.           ,,Има,510,5,
723,КОЛИНОС ПАСТА 125 МЛ,97,бр.            ,,Има,97,18,
724,ЧЕТКА ЗА ЗАБИ АСТЕРА,57,бр.            ,,Има,57,18,
725,БОНБОНИ КАФЕ 900 ГР,138,бр.            ,,Има,138,10,
726,ДИЈАМАНТ КЛАСИК МАРГАРИН,35,бр.            ,,Има,35,5,
727,КИКИРИТКИ 400 ГР ЛУШПА,77,бр.            ,,Има,77,10,
728,УРМИ 600 ГР,99,бр.            ,,Има,99,5,
729,ЛИЛА 750 СТАКЛО ПУМПА+РЕЗЕРВА,60,бр.            ,,Има,60,18,
730,СЛАНИНА ЧАДЕНА ФИ-СА,430,кгр.           ,,Има,430,5,
731,МАЈОНЕЗ ТОМИ КЕСЕ 280 МЛ,120,бр.            ,,Има,120,10,
732,КИСЕЛО БИТОЛСКО МЛЕКО,32,бр.            ,,Има,32,5,
733,ЈОГУРТ БИТОЛСКИ 1Л,75,бр.            ,,Има,75,5,
734,ГУЛАШ ОВАКО 200 ГР,82,бр.            ,,Има,82,5,
735,ЧАЈ ЕКЛАНД 350ГР,89,бр.            ,,Има,89,5,
736,ЧАЈ ШУМСКО АЛКАЛОИД,73,бр.            ,,Има,73,5,
737,ЧАЈ ЈАБОЛКО ЦИМЕТ АЛКАЛОИД,98,бр.            ,,Има,98,5,
738,БИК ЖИЛЕТЕ БЛУ,55,бр.            ,,Има,55,18,
739,ЧОКОБИСКВИТ 300ГР,127,бр.            ,,Има,127,5,
740,РЕСАНА 1 КГ,150,бр.            ,,Има,150,5,
741,АЈВАР ДИЕМ,115,бр.            ,,Има,115,5,
742,ЧОКО СТОБИ ФЛИПС 80 ГР,26,бр.            ,,Има,26,5,
743,ЗАПАЛКИ КРИКЕТ,30,бр.            ,,Има,30,18,
744,ПРЕЗИДЕНТ 140ГР,88,бр.            ,,Има,88,10,
745,КИНДЕР 50ГР,43,бр.            ,,Има,43,5,
746,БОНИ ФАЗОНИ 90 ГР,13,бр.            ,,Има,13,5,
747,ЧАЈ ШИПКА АЛКАЛОИД,75,бр.            ,,Има,75,5,
748,ЧАЈ УВЕ МИКС АЛКАЛОИД,90,бр.            ,,Има,90,5,
749,БИК 1,15,бр.            ,,Има,15,18,
750,"СИЈАЛИЦИ ОСРАМ ЛЕД 10,5В",84,бр.            ,,Има,84,18,
751,ЧАЈ ЗЕЛЕН АЛКАЛОИД,70,бр.            ,,Има,70,5,
752,МАЈОНЕЗ ВИТАНЕЗ 85 ГР,22,бр.            ,,Има,22,5,
753,СИЛАН 1 Л,130,бр.            ,,Има,130,18,
754,АФИОН 100ГР,29,бр.            ,,Има,29,10,
755,АЛВА ЗЛАТЕА 420 ГР,120,бр.            ,,Има,120,5,
