Шифра,Артикал,Продажна Цена,Единична Цена,Опис,Достапност,Редовна Цена,ДДВ,Последно ажурирање
881,ПЕРФЕТО СОК ОД ДОМАТИ 500,41,бр.            ,,Има,41,5,
882,ФЕЛЧЕ КУПКА,160,бр.            ,,Има,160,18,
883,АЈВАР ЛАРС 720ГР,77,бр.            ,,Има,77,5,
884,СИРЕЊЕ ЗДРАВЈЕ КРАВЈО,287,кгр.           ,,Има,287,5,
885,СЕНСОДИН ПАРАДОНТАКС,240,бр.            ,,Има,240,18,
886,КОНЕЦ ЗА ЗАБИ,134,бр.            ,,Има,134,18,
887,АКВАФРЕШ 125МЛ + ЧЕТКА,130,бр.            ,,Има,130,18,
888,ЧОКОКОРНЕТ,10,бр.            ,,Има,10,5,
889,АРЕА ЗА ПОД 1+1,110,бр.            ,,Има,110,18,
890,ЛИЛА И ГОЛФ  ОСВЕЖУВАЧ,102,бр.            ,,Има,102,18,
891,ФЕЛЧЕ ГЕЛ МЛЕКО СЕТ,233,бр.            ,,Има,233,18,
892,ФЕЛЧЕ ПЕНА ЗА БРИЧЕЊЕ,95,бр.            ,,Има,95,18,
893,ФЕЛЧЕ ОМЕКНУВАЧ 3Л,170,бр.            ,,Има,170,18,
894,БОНБОНИ ДОЛЧЕ ТОФФЕ 900,200,бр.            ,,Има,200,10,
895,ФЕЛЧЕ ШАМПОН,120,бр.            ,,Има,120,18,
896,ПЕПСИ ДУО,111,бр.            ,,Има,111,18,
897,БУРЕК,300,бр.            ,,Има,300,5,
898,КИНДЕР ЈОУ,65,бр.            ,,Има,65,5,
899,"ГАЗОЗА 0,5",30,бр.            ,,Има,30,18,
900,ЛЕНТИ ЗА ДЕПИЛАЦИЈА РЕФУС,9,бр.            ,,Има,9,18,
901,НИВЕА ГЕЛ ЗА ТУШИРАЊЕ,92,бр.            ,,Има,92,18,
902,ТОСТ ЛЕПЧИЊА ФРИ-ПЕК,40,бр.            ,,Има,40,5,
903,БОНУКС 300 ГР,37,бр.            ,,Има,37,18,
904,СИРЕЊЕ ЗДРАВЈЕ МЕШАНО,315,кгр.           ,,Има,315,5,
905,"БОНБОНИ ПАПИНЕЗ 0,9 КГ",250,бр.            ,,Има,250,10,
906,ВИВА  100% ЈАБОЛКО,60,бр.            ,,Има,60,18,
907,НОБЛИЦЕ 167 ЛЕШНИК,38,бр.            ,,Има,38,5,
908,СИНТАГМА БЕЛ КРЕМ 100ГР,60,бр.            ,,Има,60,5,
909,ТЕЧЕН САПУН ЕЛВИ 1Л ПУМПА,50,бр.            ,,Има,50,18,
910,ПОКАНА ЗА РОДЕНДЕН,3,бр.            ,,Има,3,18,
911,РАКЧИЊА ЗАМРЗНАТИ,580,бр.            ,,Има,580,5,
912,ДАФ ПЕРФЕКС 3КГ,150,бр.            ,,Има,150,18,
913,КРОКО КРЕКЕРИ,53,бр.            ,,Има,53,5,
914,ПЛИК,5,бр.            ,,Има,5,18,
915,ТЕМПЕРНИ ТОЗ,193,бр.            ,,Има,193,18,
916,ДРВЕНИ ТОЗ,76,бр.            ,,Има,76,5,
917,МОЛИВ ТОЗ,14,бр.            ,,Има,14,5,
918,ТЕТРАТКА ЗА ПОЧЕТНО,6,бр.            ,,Има,6,5,
919,ТЕТРАТКА А4,25,бр.            ,,Има,25,5,
920,ЧОКОФРУИТ КАЈСИЈА,20,бр.            ,,Има,20,10,
921,РИБИНИ ПРСТИ 250ГР,72,бр.            ,,Има,72,10,
922,ГУМЕНИ БЕБЕТО,15,бр.            ,,Има,15,10,
923,ХЕРБИНА ЕУКАЛИПТУС 80ГР,26,бр.            ,,Има,26,5,
924,ЛЕЈДИ БИРД 1 КГ,184,бр.            ,,Има,184,5,
925,РОШЕН МИКС БОНБОНИ 1 КГ,152,кгр.           ,,Има,152,5,
926,БОНБОНИ ТОО,10,бр.            ,,Има,10,10,
927,ЧАША 400МЛ 1/50,100,бр.            ,,Има,100,18,
928,ЦРН БИБЕР ВО ЗРНО 60ГР,110,бр.            ,,Има,110,5,
929,БЕЛ БИБЕР МЕЛНИЦА 60 ГР,122,бр.            ,,Има,122,5,
930,ВЕЗЕНА ПИПЕРКА ТЕГЛА,80,бр.            ,,Има,80,5,
931,МЕШАВИНА МЕЛНИЦА 120ГР,106,бр.            ,,Има,106,5,
932,РОШЕН ЕУКАЛИПТУС 1КГ,270,бр.            ,,Има,270,10,
933,ПЕРФЕКС ПРЕМИУМ 8+2,180,бр.            ,,Има,180,18,
934,РЕСКО,10,бр.            ,,Има,10,5,
935,ТАБЛЕТИ ДОМИНО РЕФУС,7,бр.            ,,Има,7,18,
936,ЕУРОВАФЕЛ ЧОКО 45ГР,23,бр.            ,,Има,23,10,
937,ОРНЕЛ 2Л,158,бр.            ,,Има,158,18,
938,БОХОР 35МЛ,10,бр.            ,,Има,10,18,
939,ЖИЦА ТОП СТАР 2/1,30,бр.            ,,Има,30,18,
940,ПУФ  и  ЏИН ЕТИ,10,бр.            ,,Има,10,5,
941,ГОВЕДСКА МОРТАДЕЛА ,330,кгр.           ,,Има,330,5,
942,ГОВЕДСКИ ТЕНОК КОЛБАС,207,кгр.           ,,Има,207,5,
943,ПОТПАЛУВАЧ ЗА ОГАН,175,бр.            ,,Има,175,18,
944,ПРЕТИ НОРМАЛ БЕЗ КРИЛЦА,85,бр.            ,,Има,85,5,
945,КАРАМЕЛ КИМ 300 ГР,70,бр.            ,,Има,70,5,
946,РОШЕН ЕЛЕГАНТ 145 ГР,200,бр.            ,,Има,200,10,
947,МОРТАДЕЛА СВИНСКА,219,кгр.           ,,Има,219,5,
948,КОНФЕТО 156 ГР,47,бр.            ,,Има,47,5,
949,НЕСКВИК 120ГР,52,бр.            ,,Има,52,5,
950,ЧАШИ ПВЦ 1/7,32,бр.            ,,Има,32,5,
951,ЈАДРАН ВАФЕЛ 45ГР,15,бр.            ,,Има,15,5,
952,НАПОЛИТАНКА ЕУРОВАФЕЛ 180ГР,58,бр.            ,,Има,58,5,
953,КРЕКЕРИ ПЕРЕЦИ СЛ 200ГР,32,бр.            ,,Има,32,5,
954,ШАМПОН ШАУМА,110,бр.            ,,Има,110,18,
955,МЕИН ПЕЧЕНИЦА СЛАЈС 150ГР,61,бр.            ,,Има,61,5,
956,МЕИН МОРТАДЕЛА СЛАЈС 150ГР,42,бр.            ,,Има,42,5,
957,МЕИН СВ.БУТ 150ГР,56,бр.            ,,Има,56,5,
958,КРЕМ БЛОК ТАКОВО 4/1,30,бр.            ,,Има,30,5,
959,ТОАЛЕТ ФАМИЛИ 8/1,104,бр.            ,,Има,104,18,
960,ТОАЛЕТ КАМЕЛИЈА 4/1,35,бр.            ,,Има,35,18,
961,ФАМИЛИ БРИШАЧИ 4/1,98,бр.            ,,Има,98,18,
962,ФАМИЛИ БРИШАЧ ДЕТЕРГЕНТ,92,бр.            ,,Има,92,18,
963,ФАМИЛИ БРИШАЧ ЏАМБО,138,бр.            ,,Има,138,18,
964,БЕЛА СЕКОЈДНЕВНИ ВЛОШКИ,26,бр.            ,,Има,26,5,
965,КАКАО АГРОПЛОД,85,бр.            ,,Има,85,5,
966,СЕНДВИЧ КОЛАЧИЊА 2 ГООД,42,бр.            ,,Има,42,5,
967,ВЕЦЕ ДАК,34,бр.            ,,Има,34,18,
968,КОЛАЧИЊА 2 ГООД,44,бр.            ,,Има,44,5,
969,АКВА ФРЕШ 75МЛ,65,бр.            ,,Има,65,18,
970,АТЛАНТИС 230ГР,242,бр.            ,,Има,242,10,
971,"КИСЕЛО ЕКСТРА БИТОЛСКО,ШИПКА",22,бр.            ,,Има,22,5,
972,СОДА БИКАРБОНА 4+1 ВИТАМИНКА,20,бр.            ,,Има,20,18,
973,МАГИ КРЕМ СУПА ОД ПЕЧУРКИ,42,бр.            ,,Има,42,5,
974,МЕИН СЛАНИНА 150ГР СЛАЈС,107,бр.            ,,Има,107,5,
975,РОШЕН ЧОКОКРЕЈЗИ 1КГ,253,бр.            ,,Има,253,5,
976,РОШЕН ЕУКАЛИПТУС 200ГР,60,бр.            ,,Има,60,10,
977,РОШЕН БИМ-БОМ 200ГР,60,бр.            ,,Има,60,10,
978,ЛЕБ ФРИ-ПЕК ДОМАШЕН,36,бр.            ,,Има,36,5,
979,САЛАТА АЛОРА ТЕГЛА,83,бр.            ,,Има,83,10,
980,АЛОРА ПИПЕРКА ФИЛЕТА ТЕГЛА,88,бр.            ,,Има,88,5,
981,СУНГЕР ВУДС 3/1,25,бр.            ,,Има,25,18,
982,РОШЕН МЛ.БАР 43,26,бр.            ,,Има,26,5,
983,РОНДО Ц,18,бр.            ,,Има,18,5,
984,БАЛОН БАСКЕТ,10,бр.            ,,Има,10,18,
985,БАЛОН 5,5,бр.            ,,Има,5,18,
986,ЧАЈНА МЕИН ВАКУМ,405,бр.            ,,Има,405,5,
987,МАСЛИНКА ВАКУМ 200,60,бр.            ,,Има,60,5,
988,СЛИВА СУВА 200,88,бр.            ,,Има,88,10,
989,СЕТ НЕКТАР ЛАЈФ 1+1,122,бр.            ,,Има,122,18,
990,БРАШНО ЖИТО ЛУКС 4/1,124,бр.            ,,Има,124,5,
991,ПИЛЕШКИ МЕДАЉОНИ,240,бр.            ,,Има,240,5,
992,ЛЕДЕН ЧАЈ И ДВОЈНИ Ц ФРУКТАЛ,42,бр.            ,,Има,42,5,
993,КЕБАП ПРОМЕС,113,бр.            ,,Има,113,5,
994,КОЛБАС СТОЧАР,282,кгр.           ,,Има,282,5,
995,ПЛЕСКАВИЦА АЈДУЧКА,110,бр.            ,,Има,110,5,
996,БАНАНИТА БАНАНКИ 510ГР,135,бр.            ,,Има,135,5,
997,ПАЛЕНТА МАКС,24,бр.            ,,Има,24,5,
998,"ГАЗОЗА 1,75 ДУО",93,бр.            ,,Има,93,18,
999,СУЏУК ПКБ,230,бр.            ,,Има,230,5,
1000,РОШЕН КРЕАМЕЛ,540,бр.            ,,Има,540,5,
1001,ЗОТТ ПУДИНГ СО ШЛАГ,20,бр.            ,,Има,20,10,
1002,КОЦКИ ЗА ПОТПАЛОК,50,бр.            ,,Има,50,18,
1003,ХЕПИ ТЕМНО ЧОКОЛАДО 80ГР,83,бр.            ,,Има,83,5,
1004,ЖИТОМИР ЧОКОЛАДНИ БОНБОНИ,170,бр.            ,,Има,170,10,
1005,МОНИ 75ГР,40,бр.            ,,Има,40,5,
1006,ДАРИЈА ТЕМНО ЧОКОЛАДО,40,бр.            ,,Има,40,5,
1007,ВИРШЛА РЕФУС,100,кгр.           ,,Има,100,5,
1008,КРЕМ БЛОК ТАКОВО 4/1,58,бр.            ,,Има,58,5,
1009,ЛИКВИД РОЛОН,65,бр.            ,,Има,65,10,
1010,ИНКАФЕ 100ГР ПРЕМИУМ,163,бр.            ,,Има,163,10,
1011,ШЕКЕР КОЦКА,102,бр.            ,,Има,102,5,
1012,САМУРАЈ 2,13,бр.            ,,Има,13,18,
1013,ЗАЧИН МАК 200ГР,10,бр.            ,,Има,10,5,
1014,ПЕЛЕНИ ЕЛАН,70,бр.            ,,Има,70,5,
1015,КИКИ СТАПЧИЊА 200 ГР,62,бр.            ,,Има,62,5,
1016,ОРИЗ БОН 800ГР,78,бр.            ,,Има,78,5,
1017,ЖЕЛЕ 200ГР БЛАГОЈ ГОРЕВ,53,бр.            ,,Има,53,10,
1018,НАРЕЗАК 100ГР ПКБ,25,бр.            ,,Има,25,5,
1019,Двопек Ети,57,бр.            ,,Има,57,5,
1020,НОВОГОДИШНО ПАКЕТЧЕ ,460,бр.            ,,Има,460,5,
1021,МАСЛИНКА 170,176,кгр.           ,,Има,176,5,
1022,ФЛИПС 40г,15,бр.            ,,Има,15,5,
1023,МАСЛИНКА ЗЕЛЕНА КОФИЧКА,100,бр.            ,,Има,100,5,
1024,ШЕКЕР 1КГ,63,бр.            ,,Има,63,5,
1025,ДУРУ СЕТ,172,бр.            ,,Има,172,18,
1026,АРКО КРЕМА ЗА БРИЧЕЊЕ 100ГР,60,бр.            ,,Има,60,18,
1027,СИЈАЛИЦИ 4Х ОСРАМ,164,бр.            ,,Има,164,18,
1028,ЧЕТКА ЗА ЗАБИ АКВАФРЕШ ДЕТСКА,185,бр.            ,,Има,185,18,
1029,ЧЕТКА ЗА ЗАБИ АКВАФРЕШ,47,бр.            ,,Има,47,18,
1030,АРИС РЕЗЕРВА,135,бр.            ,,Има,135,18,
1031,МАСЛИНКА КАЛАМАТА 291-230,116,бр.            ,,Има,116,5,
1032,МИЛЕНИУМ ЧОКОЛ. БОНБОНИ 500ГР,216,кгр.           ,,Има,216,5,
1033, ПОМФРИТ ЛУТОСА 115,132,бр.            ,,Има,132,5,
1034,МАСТИКИ ЧУПА ЧУПС,23,бр.            ,,Има,23,10,
1035,ГОВЕДСКА ПЛЕШКА,360,бр.            ,,Има,360,5,
1036,ПИЛЕШКИ ПАРЧИЊА ОД БЕЛО МЕСО,150,кгр.           ,,Има,150,5,
1037,КЕКСИ СЕНДВИЧ 350ГР,90,бр.            ,,Има,90,5,
1038,ДУЕЛ 8КГ,700,бр.            ,,Има,700,18,
1039,ГУЛАШ 400ГР УНГАРСКИ,102,бр.            ,,Има,102,5,
1040,ЛОВЈУ ДУО,19,бр.            ,,Има,19,10,
1041,БИЗИМ СУПА,31,бр.            ,,Има,31,5,
1042,МАСЛИНКА 250ГР КАЛАМАТА И НАТУРАЛНА,92,бр.            ,,Има,92,5,
1043,ГО-ТИНИ,68,бр.            ,,Има,68,5,
1044,МАРАМИЦИ БЕКУТАН 2х64,145,бр.            ,,Има,145,18,
1045,"СИНАЛКО 1,250",30,бр.            ,,Има,30,18,
1046,ПЕРСИЛ 2КГ,292,бр.            ,,Има,292,18,
1047,ПЕРСИЛ 3Л,487,бр.            ,,Има,487,18,
1048,КЕНТ ТРИКС 300ГР,92,бр.            ,,Има,92,5,
1049,КЕНТ ТРИКС 9ГР,5,бр.            ,,Има,5,5,
1050,МАКАРОНИ ПЕРФЕТО,50,бр.            ,,Има,50,5,
1051,МАРАМИЦИ БОРА 2+1,94,бр.            ,,Има,94,18,
1052,ХАЛК ЈЕСЕМ 216ГР,39,бр.            ,,Има,39,5,
1053,ТИД БИД,20,бр.            ,,Има,20,5,
1054,СНИКЕРС 4/1,108,бр.            ,,Има,108,5,
1055,УКРАСНА КЕСА ЗА ВИНО,30,бр.            ,,Има,30,18,
1056,МАЈОНЕЗ ПОЛИМАРК 45ГР,15,бр.            ,,Има,15,10,
1057,МАЈОНЕЗ ТОМИ 80ГР,21,бр.            ,,Има,21,5,
1058,МАГИ ПИЛЕШКА БИСТРА СУПА 40ГР,14,бр.            ,,Има,14,5,
1059,КИТ КАТ,24,бр.            ,,Има,24,5,
1060,ЛИОН 42ГР,18,бр.            ,,Има,18,5,
1061,КИТ КАТ 3/1,54,бр.            ,,Има,54,5,
1062,НЕСКАФЕ 50ГР КЕСА,80,бр.            ,,Има,80,5,
1063,НЕСКАФЕ 50ГР ЛИМЕНКА,104,бр.            ,,Има,104,5,
1064,ШАМПОН ХЕДЕН ШОЛТЕРС ,175,бр.            ,,Има,175,18,
1065,ПАРИЗЕР ПКБ,109,бр.            ,,Има,109,5,
1066,ЧОКОЛАДО ЗА ГОТВЕЊЕ СЛ ПОСНО,32,бр.            ,,Има,32,5,
1067,ВИЛКИНСОН 6/1,300,бр.            ,,Има,300,18,
1068,РОШЕН КРЕЈЗИ БИ ЈЕЛИ 200ГР,70,бр.            ,,Има,70,10,
1069,ЛООП КЕЈК,12,бр.            ,,Има,12,5,
1070,РОШЕН ЛОЛИ ПОПС 1КГ,200,бр.            ,,Има,200,5,
1071,ПЕТИТ ВИКИ 200ГР,19,бр.            ,,Има,19,5,
1072,ПЕЧУРКИ  ТЕГЛА 720ГР,128,бр.            ,,Има,128,10,
1073,МОЕ КОЛАЧЕ ГУРАБИЈА 2КГ,133,кгр.           ,,Има,133,5,
1074,МАРАМИЦИ БЕЈБИ КЕАР 72/1,48,бр.            ,,Има,48,18,
1075,БИОАКТИВ 6КГ,290,бр.            ,,Има,290,18,
1076,ПАСКАЛИН 100Г,42,бр.            ,,Има,42,18,
1077,ПАСКАЛИН 200г,81,бр.            ,,Има,81,18,
1078,АЛВА 30ГР,10,бр.            ,,Има,10,5,
1079,ИНЛОТ ПРАШОК 9КГ,415,бр.            ,,Има,415,18,
1080,"ДУЕЛ ОМЕКНУВАЧ 1,6",250,бр.            ,,Има,250,18,
1081,ДОВ КУПКА 600МЛ,199,бр.            ,,Има,199,18,
1082,ВРЕКИ ЗА ГУБРЕ 150Л,47,бр.            ,,Има,47,18,
1083,ТОРТА БАЛКОНИ ,128,бр.            ,,Има,128,5,
1084,НОВОСАДСКА 300 МЕИН,120,бр.            ,,Има,120,5,
1085,ПЕРФЕТО КРЕМА ЗА ГОТВЕНЈЕ 500ГР,107,бр.            ,,Има,107,5,
1086,ПРИМА ГАСТРО КРЕМ  200МЛ,38,бр.            ,,Има,38,5,
1087,"ПАНИРАНИ ПИЛЕШКИ ПАРЧИЊА 0,5КГ",186,бр.            ,,Има,186,5,
1088,ДОВЕ КРЕМА 300МЛ,179,бр.            ,,Има,179,18,
1089,РЕСАНА 600ГР,90,бр.            ,,Има,90,5,
1090,ФЕФЕРОНИ ДАУТИ,59,бр.            ,,Има,59,5,
1091,ЖАКО КОЦКИ,7,бр.            ,,Има,7,10,
1092,ВИВА 1Л АЦЕ,53,бр.            ,,Има,53,18,
1093,МАРГАРИН ДИЈАМАНТ 500Г,49,бр.            ,,Има,49,5,
1094,ОРБИТ МИНИ,10,бр.            ,,Има,10,5,
1095,ГРИЦКИ ЕЛЕФАНТ,18,бр.            ,,Има,18,5,
1096,"ОРНЕЛ 4,5 л",220,бр.            ,,Има,220,18,
1097,ДОВЕ СТИК,126,бр.            ,,Има,126,18,
1098,МАЈ ТАЈМ 90ГР ЧОКОЛАДО,26,бр.            ,,Има,26,10,
1099,АРКО БАЛСАМ,50,бр.            ,,Има,50,18,
1100,"МЕГЛЕ 0,5",95,бр.            ,,Има,95,18,
1101,ВИКА БЕЛА 600ГР,105,бр.            ,,Има,105,5,
1102,БРАУНИ180ГР,87,бр.            ,,Има,87,5,
1103,СУПА БИЗИМ ,35,бр.            ,,Има,35,5,
1104,КЕНТ ЧОКОГРАНУЛИ 300ГР,115,бр.            ,,Има,115,5,
1105,ПЕЧУРКИ 400ГР,50,бр.            ,,Има,50,5,
1106,КАРАМЕЛ 900 ГР МИРАНА,112,бр.            ,,Има,112,5,
1107,ТОАЛЕТ ЛЕДА 10/1 ТРИ СЛОЈА,109,бр.            ,,Има,109,18,
1108,КАРТОНСКАТАЦНА БР 4,40,бр.            ,,Има,40,18,
1109,"ФАНТА 1,25",45,бр.            ,,Има,45,18,
1110,"ФАНТА 1,75",55,бр.            ,,Има,55,18,
1111,"ШВЕПС 1,5",65,бр.            ,,Има,65,18,
1112,"ФАНТА 0,5",35,бр.            ,,Има,35,18,
1113,"КОКА КОЛА 0,5",35,бр.            ,,Има,35,18,
1114,"КОКА КОЛА 1,25",50,бр.            ,,Има,50,18,
1115,"КОКА КОЛА 1,75",65,бр.            ,,Има,65,18,
1116,ЕКСТРИМ ПАРФЕМ 50МЛ,179,бр.            ,,Има,179,18,
1117,КАРТОНСКИ ТАЦНИ 2,25,бр.            ,,Има,25,18,
1118,ПОСЕБНА МЕИН 800ГР,156,бр.            ,,Има,156,5,
1119,ПИЛ СТЕК 2КГ ,506,бр.            ,,Има,506,5,
1120,АТЛАНТИС ЛИМЕНКА 200ГР,185,бр.            ,,Има,185,5,
1121,"СИНАЛКО ЛЕДЕН ЧАЈ 1,5 Л",60,бр.            ,,Има,60,18,
1122,СЈАЈ ЛИЛА 3Л,100,бр.            ,,Има,100,18,
1123,КИСЕЛО ОВЧЈО БУЧЕН КОЗЈАК,73,бр.            ,,Има,73,5,
1124,АГРОБЛОК 40ГР,13,бр.            ,,Има,13,5,
1125,СУПА ПЕТЕЛ ПОДРАВКА 5+1,190,бр.            ,,Има,190,5,
1126,МАГИ ШПАГЕТИ БОЛОЊЕЗЕ,68,бр.            ,,Има,68,10,
1127,БАЛАНС +  и 10 ВИТАМИНИ 1л,90,бр.            ,,Има,90,5,
1128,"МОЈА КРАВИЦА 2,8",71,бр.            ,,Има,71,5,
1129,КАПИНА 300г,31,бр.            ,,Има,31,5,
1130,ЦРНА МАСЛИНКА 500г КИСИ,140,бр.            ,,Има,140,5,
1131,ПАПАГЕНА,107,бр.            ,,Има,107,10,
1132,КАФЕ ГРАНД АРОМА 2Х200 ПОСЛУЖОВНИК,184,бр.            ,,Има,184,18,
1133,КИКИРИТКИ 800ГР СИРОВИ,140,бр.            ,,Има,140,5,
1134, СОЛЕНКИ СО СУСАМ 200ГР,25,бр.            ,,Има,25,5,
1135,ЛИЖАЛКА ЗА 10,10,бр.            ,,Има,10,10,
1136,ЧИПС ВИПА 18г,5,бр.            ,,Има,5,5,
1137,ЧИПС ПАВЛАКА 140ГР,88,бр.            ,,Има,88,10,
1138,ЧИПС ВИПА 20г,10,бр.            ,,Има,10,5,
1139,НИВЕА ДЕЗОДОРАНС,109,бр.            ,,Има,109,18,
1140,ЛИНЕА 52г,15,бр.            ,,Има,15,5,
1141,"МЛЕКО МИК  И МИЗО 3,2",47,бр.            ,,Има,47,5,
1142,КОКОС ЕДЕН ЏОИ,7,бр.            ,,Има,7,10,
1143,ЗАПАЛКА ЗА ПЛИН,95,бр.            ,,Има,95,18,
1144,БРИОН 150+50МЛ,115,бр.            ,,Има,115,18,
1145,БРИОН ЛОСИОН 110МЛ,68,бр.            ,,Има,68,18,
1146,ЛУЦИЈА 300г,60,бр.            ,,Има,60,5,
1147,"ПЕРВОЛ 1,980Л",270,бр.            ,,Има,270,18,
1148,ПЕРВОЛ 3Л,282,бр.            ,,Има,282,18,
1149,СЕТ БИТОЛСКО МЛЕКО 4/1,252,бр.            ,,Има,252,5,
1151,ЧОКОЛАДНО МЛЕКО 1л,75,бр.            ,,Има,75,18,
1152,СЕТ ПИЛЕШКА ЕКСТРА И ПАШТЕТА,145,бр.            ,,Има,145,5,
1153,НЕКТАР 2Х 1Л,70,бр.            ,,Има,70,18,
1154,"НЕКТАР  1,5 л",54,бр.            ,,Има,54,18,
1155,КАКАО КРАШ,102,бр.            ,,Има,102,5,
1156,ШАРЕНА СОЛ,46,бр.            ,,Има,46,5,
1157,СТИКЕРИ СМЕШКОВЦИ,26,бр.            ,,Има,26,18,
1158,ФРОНДИ,110,бр.            ,,Има,110,5,
1159,ПЕЛЕНИ МАГНОЛИЈА 9-18,150,бр.            ,,Има,150,5,
1160,СИРЕЊЕ ШАРСКО,324,кгр.           ,,Има,324,5,
1161,КОПАН ПАКУВАН,132,кгр.           ,,Има,132,5,
1162,ПУЦКАЛКИ,5,бр.            ,,Има,5,5,
1163,ЗАЧИНАЛ 2Х250,97,бр.            ,,Има,97,5,
1164,БЕКУТАН КРЕМА 50МЛ,70,бр.            ,,Има,70,18,
1165,ОЛВЕЈС,85,бр.            ,,Има,85,18,
1166,ПЕЛЕНИ ЕЛАН 16 +,200,бр.            ,,Има,200,5,
1167,БИЛЈАНА ПРАШОК 200ГР,19,бр.            ,,Има,19,18,
1168,НЕСКВИК 500,153,бр.            ,,Има,153,5,
1169,СУПА МАГИ ПИЛЕШКА,21,бр.            ,,Има,21,5,
1170,КАШКАВАЛ БУЧЕН КОЗЈАК,570,кгр.           ,,Има,570,5,
1171,КИНДЕР БУЕНО,52,бр.            ,,Има,52,5,
1172,ПОСЕБНА МЕИН 350ГР ПИЛЕШКА,56,бр.            ,,Има,56,5,
1173,СТИКЕРИ ПЕПЕРУТКИ,33,бр.            ,,Има,33,18,
1174,РИБАЧКА ЧЕТКА,100,бр.            ,,Има,100,18,
1175,КРОАСАН 300ГР,66,бр.            ,,Има,66,5,
1176,"МЕРИКС ГЕЛ 0,855",220,бр.            ,,Има,220,18,
1177,"БРЕФ ВЦ ГЕЛ 0,700",80,бр.            ,,Има,80,18,
1178,ПЕРСИЛ 8 КГ + КОРПА,1000,бр.            ,,Има,1000,18,
1179,"ЈАФА  МУЛТИ И АРОНИЈА 1,5л",40,бр.            ,,Има,40,18,
1180,ФРУКТАЛ ЛИМОНАДА И МАЛИНА1Л,72,бр.            ,,Има,72,18,
1181,"НЕКТАР ПРАСКА 1,5Л",88,бр.            ,,Има,88,18,
1182,"ШВЕПС 0,5",35,бр.            ,,Има,35,18,
1183,"СПРАЈТ 1,75",55,бр.            ,,Има,55,18,
1184,СЕНФ ТОМИ 280гр,135,бр.            ,,Има,135,10,
1185,КОРПА ЕКО ПЛАТНЕНА,10,кгр.           ,,Има,10,18,
1186,КОЛБАС ГОВЕДСКИ НИКСИ,152,кгр.           ,,Има,152,5,
1187,ЛОКУМ 400ГР ,66,бр.            ,,Има,66,5,
1188,ФИЛЕТИ ПИЛЕШКИ ВО СОС 160ГР,100,бр.            ,,Има,100,5,
1189,ПЕЛЕНИ ЕВИ БЕЈБИ 6/28,339,бр.            ,,Има,339,5,
1190,ПЕПСИ ГАЗОЗА ЛИМЕНКА,30,бр.            ,,Има,30,18,
1191,ТИПСО 900МЛ,97,бр.            ,,Има,97,18,
1192,"ПЕЛИСТЕРКА ОБИЧНА 4/1 2,5л",100,бр.            ,,Има,100,18,
1193,СУПА АЛПСКА ГОВЕДСКА,54,бр.            ,,Има,54,5,
1194,ВИТАНОВА 6/1,42,бр.            ,,Има,42,5,
1195,ЛЕБЛЕБИЈА 200ГР БЛАНКО ФОЛИЈА,50,бр.            ,,Има,50,5,
1196,РОШЕН ФРУТ БЕРИ МИКС 200 ГР,80,бр.            ,,Има,80,10,
1197,ЧАДОР МАЛ,150,бр.            ,,Има,150,18,
1198,МАСЛИНКА КАЛАМАТА 500 ГР,165,бр.            ,,Има,165,5,
1199,САВЕКС 8кг,614,бр.            ,,Има,614,18,
1200,ЕМОУШН СОФТ ЖЕНСКИ СЕТ,280,бр.            ,,Има,280,18,
1201,МОТТО ВАФЛИ 34ГР,15,бр.            ,,Има,15,5,
1202,"ТЈУБ 1,5Л",60,бр.            ,,Има,60,18,
1203,ЗАЧИНАЛ 1КГ,133,бр.            ,,Има,133,5,
1204,ЕМОУШН 1+1,240,бр.            ,,Има,240,18,
1205,ЧАЈНИ КОЛАЧИ ДОНИА 350ГР,72,бр.            ,,Има,72,5,
1206,ГРАВ КИБЕЛА 500ГР,62,бр.            ,,Има,62,5,
1207,КАРНЕКС ГУЛАШ ГОВЕДСКИ 400ГР,120,бр.            ,,Има,120,5,
1208,КАРНЕКС ГУЛАШ СВИНСКИ 400 ГР,99,бр.            ,,Има,99,5,
1209,КАРНЕКС МЕСЕН ПРЕЛИВ,83,бр.            ,,Има,83,5,
1210,ХЕПИ ЧОКОЛАДО 230ГР ЛЕШНИК,174,бр.            ,,Има,174,5,
1211,ПЕРВОЛ 4Л,405,бр.            ,,Има,405,18,
1212,ЗАМРЗНАТ ПИЛЕШКИ КОЛБАС,308,кгр.           ,,Има,308,5,
1213,"ПЛЕСКАВИЦА ,КЕБАП БДА",295,кгр.           ,,Има,295,5,
1214,КОКО МАДАМ БАЛСАМ ЗА КОСА 500МЛ,93,бр.            ,,Има,93,18,
1215,ЧАДЕНА ШУНКА ДЕЛУКС,320,кгр.           ,,Има,320,5,
1216,ФЛИПС ЛЕТТО 18ГР,5,бр.            ,,Има,5,10,
1217,ЕВРИ ДЕЈ  ДАБЛ ДРАЈ,190,бр.            ,,Има,190,18,
1218,ПАСКАЛИН 5+1,45,бр.            ,,Има,45,5,
1219,"ГАЗОЗА 1,5Л",41,бр.            ,,Има,41,18,
1220,ЧАЈНА ГАВРИЛОВИЧ 80ГР,61,бр.            ,,Има,61,5,
1221,"ПЕПСИ 1,25Л",50,бр.            ,,Има,50,18,
